año,mes,tipo de cambio 
1966,marzo,228.88
1966,abril,222.78
1966,mayo,234.9
1966,junio,238.29
1966,julio,224.65
1966,agosto,227.98
1966,setiembre,247.35
1966,octubre,256.18
1966,noviembre,266.78
1966,diciembre,270.6
1967,enero,282.22
1967,febrero,295.77
1967,marzo,345.24
1967,abril,348.18
1967,mayo,348.75
1967,junio,349.25
1967,julio,350
1967,agosto,349.75
1967,setiembre,349.75
1967,octubre,349.5
1967,noviembre,349.5
1967,diciembre,350
1968,enero,350
1968,febrero,350
1968,marzo,349.75
1968,abril,349.5
1968,mayo,350
1968,junio,349.5
1968,julio,349.5
1968,agosto,350
1968,setiembre,350
1968,octubre,350
1968,noviembre,350
1968,diciembre,350
1969,enero,350
1969,febrero,349.75
1969,marzo,349.5
1969,abril,350.25
1969,mayo,351.75
1969,junio,352
1969,julio,351.25
1969,agosto,351.75
1969,setiembre,351.75
1969,octubre,351.5
1969,noviembre,351.5
1969,diciembre,352.25
1970,enero,34.975
1970,febrero,3.5
1970,marzo,3.485
1970,abril,3.495
1970,mayo,35.125
1970,junio,4.01
1970,julio,4.01
1970,agosto,40.075
1970,setiembre,40.175
1970,octubre,4.165
1970,noviembre,4.29
1970,diciembre,4.335
1971,enero,4.275
1971,febrero,4.175
1971,marzo,4.335
1971,abril,4.635
1971,mayo,4.805
1971,junio,5.255
1971,julio,5.375
1971,agosto,5.805
1971,setiembre,6.905
1971,octubre,8.85
1971,noviembre,9.775
1971,diciembre,9.4
1972,enero,10.15
1972,febrero,10.35
1972,marzo,10
1972,abril,10.15
1972,mayo,11.95
1972,junio,11.75
1972,julio,11.2
1972,agosto,13
1972,setiembre,13.7
1972,octubre,12
1972,noviembre,11.88
1972,diciembre,11.25
1973,enero,12.13
1973,febrero,11.45
1973,marzo,11.43
1973,abril,12.5
1973,mayo,12.5
1973,junio,10.88
1973,julio,10.1
1973,agosto,10.95
1973,setiembre,11.1
1973,octubre,10.6
1973,noviembre,10.58
1973,diciembre,11.2
1974,enero,11.9
1974,febrero,12.3
1974,marzo,12.4
1974,abril,13.3
1974,mayo,14.4
1974,junio,14.9
1974,julio,16.6
1974,agosto,17.55
1974,setiembre,18.7
1974,octubre,20.05
1974,noviembre,20.9
1974,diciembre,22
1975,enero,22.65
1975,febrero,23.45
1975,marzo,28.35
1975,abril,36.45
1975,mayo,47
1975,junio,53
1975,julio,66.5
1975,agosto,76
1975,setiembre,110
1975,octubre,142.5
1975,noviembre,132.5
1975,diciembre,127.5
1976,enero,196
1976,febrero,270
1976,marzo,325
1976,abril,255
1976,mayo,245
1976,junio,247.5
1976,julio,250
1976,agosto,263
1976,setiembre,247
1976,octubre,245.5
1976,noviembre,273
1976,diciembre,276
1977,enero,297.5
1977,febrero,332.5
1977,marzo,342.5
1977,abril,364.5
1977,mayo,372.5
1977,junio,390
1977,julio,411.5
1977,agosto,437.5
1977,setiembre,468.5
1977,octubre,510.5
1977,noviembre,550.5
1977,diciembre,599.5
1978,enero,636.5
1978,febrero,679.5
1978,marzo,717.5
1978,abril,759.5
1978,mayo,765.5
1978,junio,783.5
1978,julio,797.5
1978,agosto,832.5
1978,setiembre,861.5
1978,octubre,911.5
1978,noviembre,956.5
1978,diciembre,998
1979,enero,1048.5
1979,febrero,1098.5
1979,marzo,1151.5
1979,abril,1202.5
1979,mayo,1257.5
1979,junio,1310.5
1979,julio,1365.5
1979,agosto,1414.5
1979,setiembre,1463.5
1979,octubre,1515.5
1979,noviembre,1567.5
1979,diciembre,1611.5
1980,enero,1659.5
1980,febrero,0
1980,marzo,1745.5
1980,abril,1782.5
1980,mayo,1819.5
1980,junio,1854.5
1980,julio,1872.5
1980,agosto,1910.5
1980,setiembre,1932.5
1980,octubre,1946.5
1980,noviembre,1972.5
1980,diciembre,1997.5
1981,enero,2038.5
1981,febrero,0
1981,marzo,2485.5
1981,abril,3.2
1981,mayo,3.625
1981,junio,7.05
1981,julio,7.2
1981,agosto,7.3
1981,setiembre,7.59
1981,octubre,9.05
1981,noviembre,11.1
1981,diciembre,10.4
1982,enero,10.3
1982,febrero,10
1982,marzo,11.85
1982,abril,14.8
1982,mayo,21.25
1982,junio,24.25
1982,julio,38.5
1982,agosto,49
1982,setiembre,47.5
1982,octubre,55
1982,noviembre,63.5
1982,diciembre,68
1983,enero,69.25
1983,febrero,80
1983,marzo,93.25
1983,abril,93.5
1983,mayo,98.5
1983,junio,11.5
1983,julio,14.75
1983,agosto,19.3
1983,setiembre,25.9
1983,octubre,24.1
1983,noviembre,24.15
1983,diciembre,25.65
1984,enero,35.25
1984,febrero,44.85
1984,marzo,52.85
1984,abril,58.4
1984,mayo,65.65
1984,junio,73.65
1984,julio,82.25
1984,agosto,108.5
1984,setiembre,121.8
1984,octubre,139.25
1984,noviembre,180.5
1984,diciembre,205
1985,enero,266
1985,febrero,356
1985,marzo,464
1985,abril,557.5
1985,mayo,673
1985,junio,855
1985,julio,0.95
1985,agosto,0.95
1985,setiembre,0.9
1985,octubre,0.93
1985,noviembre,865
1985,diciembre,875
1986,enero,885
1986,febrero,865
1986,marzo,925
1986,abril,0.91
1986,mayo,0.89
1986,junio,0.88
1986,julio,925
1986,agosto,1.165
1986,setiembre,1.213
1986,octubre,1.265
1986,noviembre,1.425
1986,diciembre,1.668
1987,enero,1.613
1987,febrero,1.72
1987,marzo,2.035
1987,abril,2.07
1987,mayo,2.06
1987,junio,2.145
1987,julio,2.553
1987,agosto,3.083
1987,setiembre,3.625
1987,octubre,4.045
1987,noviembre,4.36
1987,diciembre,5.1
1988,enero,5.5
1988,febrero,6.18
1988,marzo,6.48
1988,abril,7.35
1988,mayo,9.21
1988,junio,11.32
1988,julio,12.65
1988,agosto,14.4
1988,setiembre,14.96
1988,octubre,15.08
1988,noviembre,15.6
1988,diciembre,16.41
1989,enero,17.72
1989,febrero,28.2
1989,marzo,41
1989,abril,65
1989,mayo,167
1989,junio,470
1989,julio,665
1989,agosto,665
1989,setiembre,650
1989,octubre,723
1989,noviembre,920
1989,diciembre,1.35
1990,enero,1.87
1990,febrero,4.15
1990,marzo,4.875
1990,abril,4.925
1990,mayo,5.005
1990,junio,5.31
1990,julio,5.465
1990,agosto,6.305
1990,setiembre,5.73
1990,octubre,5.57
1990,noviembre,5.17
1990,diciembre,5.82
1991,enero,7.12
1991,febrero,9.72
1991,marzo,9.63
1991,abril,9.833
1991,mayo,9.923
1991,junio,9.993
1991,julio,9.973
1991,agosto,9.973
1991,setiembre,9.903
1991,octubre,9.913
1991,noviembre,9.909
1991,diciembre,10.028
1992,enero,9.905
1992,febrero,9.899
1992,marzo,9.934
1992,abril,9.895
1992,mayo,9.895
1992,junio,9.915
1992,julio,9.919
1992,agosto,991
